--step: 100
--average loss: 28.87020342690604
--average arcloss: 0.1859649693859475
--average holloss: 1.9739612064191274
--average uniloss: 0.14837570994028024
--average posloss: 3.079864948987961
--average rotloss: 1.1159700910959924
--average curloss: 0.8519285725695747
--average rsmloss: 1.4447560480662756
--average safeloss: 18.4273248229708
--average anchors: 1.6420570931264333
--step: 2100
--average loss: 28.208317620413645
--average arcloss: 0.1896637753982629
--average holloss: 1.8236836003405708
--average uniloss: 0.14765370770224504
--average posloss: 2.994012930563518
--average rotloss: 1.1112452404839652
--average curloss: 0.8464635333844593
--average rsmloss: 1.419614634343556
--average safeloss: 18.06981086730957
--average anchors: 1.60616934299469
--step: 2200
--average loss: 29.14221610341753
--average arcloss: 0.19611654949507543
--average holloss: 1.913737184235028
--average uniloss: 0.1464787500777415
--average posloss: 3.092047244310379
--average rotloss: 1.1258796474763326
--average curloss: 0.8845102084534509
--average rsmloss: 1.4557929337024689
--average safeloss: 18.68879554952894
--average anchors: 1.6388578414916992
--step: 2300
--average loss: 29.524308851787023
--average arcloss: 0.20904676642801082
--average holloss: 2.0277899854949544
--average uniloss: 0.14897869607167585
--average posloss: 3.1582044597182954
--average rotloss: 1.1326666538204466
--average curloss: 0.8659937530755997
--average rsmloss: 1.4709692320653371
--average safeloss: 18.838802542005265
--average anchors: 1.6718566311257226
--step: 2400
--average loss: 28.32606397356306
--average arcloss: 0.233310748689941
--average holloss: 1.9775879744972502
--average uniloss: 0.1480659150651523
--average posloss: 3.23910200382982
--average rotloss: 1.1545891729848725
--average curloss: 0.872412017413548
--average rsmloss: 1.4851943382195063
--average safeloss: 17.485426562173025
--average anchors: 1.7303750813007355
--step: 2500
--average loss: 29.34424352645874
--average arcloss: 0.24458886829337903
--average holloss: 2.1334115820271626
--average uniloss: 0.15007902841482842
--average posloss: 3.401137192334448
--average rotloss: 1.1873887841190611
--average curloss: 0.8958001860550472
--average rsmloss: 1.5320951363870077
--average safeloss: 18.007398418017797
--average anchors: 1.7923442742654256
--step: 2600
--average loss: 30.204907383237565
--average arcloss: 0.2901929510491235
--average holloss: 2.3862566564764296
--average uniloss: 0.15358306733625277
--average posloss: 3.9149897353989735
--average rotloss: 1.2541983681065696
--average curloss: 0.9294281644480569
--average rsmloss: 1.613198505980628
--average safeloss: 17.693567633628845
--average anchors: 1.9694924695151192
--step: 2700
--average loss: 29.545678070613317
--average arcloss: 0.24459877171154534
--average holloss: 2.048998800771577
--average uniloss: 0.15498976143343107
--average posloss: 3.7141859041793004
--average rotloss: 1.214332575244563
--average curloss: 0.8959171218531472
